geo_point_2d;geo_shape;objid;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.5570592061, 7.58810588606;"{""type"": ""Point"", ""coordinates"": [7.588105886063113, 47.55705920606218]}";23;3015;Brauchbare Dinge;sahara SECONDHAND;Secondhand Shop;Gerbergasse 20/1;4001;Basel;+41 (0) 61 262 20 47;;;Amt für Umwelt und Energie Basel-Stadt
47.5654531372, 7.58874734839;"{""type"": ""Point"", ""coordinates"": [7.588747348389505, 47.5654531372171]}";28;3010;Brauchbare Dinge;Heilsarmee Brocki Basel Breisacher;Secondhand Shop / Brockenhaus;Breisacherstrasse 45;4057;Basel;+41 (0) 61 683 80 47;;;Amt für Umwelt und Energie Basel-Stadt
47.5587642807, 7.57955674062;"{""type"": ""Point"", ""coordinates"": [7.579556740621112, 47.55876428068918]}";29;3009;Brauchbare Dinge;Freivogel Silvia;Secondhand Shop / Designer Second Hand;Missionsstrasse 15;4055;Basel;+41 (0) 61 261 29 72;;;Amt für Umwelt und Energie Basel-Stadt
47.5639310194, 7.59182721744;"{""type"": ""Point"", ""coordinates"": [7.591827217435378, 47.563931019394694]}";35;3003;Brauchbare Dinge;Brocanthaus Bollig AG;Secondhand Shop / Brockenhaus;Klybeckstrasse 20;4057;Basel;+41 (0) 61 303 11 80;;;Amt für Umwelt und Energie Basel-Stadt
47.5616671346, 7.56784695324;"{""type"": ""Point"", ""coordinates"": [7.567846953240326, 47.561667134637595]}";40;4028;Brillen;Buena Vista;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Hegenheimerstrasse 107;4055;Basel;+41 (0) 78 648 99 19;;;Amt für Umwelt und Energie Basel-Stadt
47.5619037712, 7.59212270518;"{""type"": ""Point"", ""coordinates"": [7.592122705180118, 47.561903771171636]}";42;4026;Brillen;Kochoptik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Teichgässlein 7;4058;Basel;+41 (0) 61 681 39 77;;;Amt für Umwelt und Energie Basel-Stadt
47.5513027612, 7.58848434702;"{""type"": ""Point"", ""coordinates"": [7.588484347018372, 47.551302761225706]}";46;4022;Brillen;Zeender Optik GmbH;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Steinentorstrasse 33;4051;Basel;+41 (0) 61 281 68 77;;;Amt für Umwelt und Energie Basel-Stadt
47.5578212191, 7.5807181472;"{""type"": ""Point"", ""coordinates"": [7.580718147199727, 47.55782121911871]}";47;4021;Brillen;Spalentor-Optik;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Missionsstrasse 1;4055;Basel;+41 (0) 61 261 29 58;;;Amt für Umwelt und Energie Basel-Stadt
47.540769857, 7.62021554174;"{""type"": ""Point"", ""coordinates"": [7.620215541742817, 47.540769857000335]}";50;4018;Brillen;Visilab St. Jakob-Park;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;St. Jakobs-Strasse 397;4052;Basel;+41 (0) 61 319 94 40;;;Amt für Umwelt und Energie Basel-Stadt
47.5519627083, 7.59276397123;"{""type"": ""Point"", ""coordinates"": [7.592763971229076, 47.55196270826877]}";53;4015;Brillen;Ottico D'Amato GmbH;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Henric Petri-Strasse 15;4051;Basel;+41 (0) 61 228 73 24;;;Amt für Umwelt und Energie Basel-Stadt
47.553355245, 7.5952337353;"{""type"": ""Point"", ""coordinates"": [7.595233735297466, 47.55335524498728]}";54;4014;Brillen;Optometrie Thomas Hofmann;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Picassoplatz 4;4052;Basel;+41 (0) 61 271 57 27;;;Amt für Umwelt und Energie Basel-Stadt
